"Nama","Review",""
"budi setya","fitur level loyalty sepertinya masih perlu dikoreksi, sudah membayar sebelum jatuh tempo, booking jauh hari, malah level turun. apa apaan ini. Mengecewakan.",""
"Pengguna Google","Aplikasi sampah, sampai skrg tidak bisa ganti no hp yg hilang. Uninstal saja. Sudah lakukan langkahÂ² sbgmn yg di inboxkan CS tetap tidak ada jawaban.",""
"Syaeful Anwar","Saya turunkan bintangnya buat apk ini, banyak ticket yag tidak bisa reschedule apalagi refund... Kan manusia biasa aja salah... Satu lagi option pemilihan tanggal tolong dibuat jangan otomatis milih sendiri, gunakan form kosong yang jika belum di isi tidak bisa melanjutkan transaksi... Supaya memini...Ulasan LengkapSaya turunkan bintangnya buat apk ini, banyak ticket yag tidak bisa reschedule apalagi refund... Kan manusia biasa aja salah... Satu lagi option pemilihan tanggal tolong dibuat jangan otomatis milih sendiri, gunakan form kosong yang jika belum di isi tidak bisa melanjutkan transaksi... Supaya meminimalisir salah Booking tanggal",""
"Kartika","Katanya pesan hotel bisa bayar saat chek in tapi diminta memasukan kartu kredit, bukanya itu sama saja bayar duluan ya.",""
"Dion Saputra","Akhir akhir ni traveloka susah buat di buka ..sungguh sangat tidak membantu..mending ga ush download traveloka lg..msh banyak aplikasi yg lain",""
"Salim Reliubun99","Tetap Tingkatkan Kualitas Service Excellent dan Kuantitas SDM serta Informatika dan Tekhnologi yang Bikin Traveloka Lebih Baik dan Jadi Trend Setter Di Indonesia dan Di Dunia",""
"m arie021","Kenapa saya setelah beli tiket di apk ini dengan pembayaran melalui alfamart, setelah mau berangkat saya di bandara masih di tagih lagi uang tiket ny sebesar 300k, petugas nya bilang pembeli tiket yg melalui apk ini cuman uang muka aja, gmna ko gini, ini apk resmi atau ilegal, mohon tindakan ny ya m...Ulasan LengkapKenapa saya setelah beli tiket di apk ini dengan pembayaran melalui alfamart, setelah mau berangkat saya di bandara masih di tagih lagi uang tiket ny sebesar 300k, petugas nya bilang pembeli tiket yg melalui apk ini cuman uang muka aja, gmna ko gini, ini apk resmi atau ilegal, mohon tindakan ny ya mas, klo gini saya merasa tertipu",""
"Kusuma Eka Wardani","Dari kemarin mau pesen tiket pesawat koq ga bisa terus ya...muncul notifikasi maaf sistem maskapai mengalami gangguan silahkan bla bla bla...mau pesen tiket Lion Air + Wings trims",""
"Arif Hidayat","Halo min. Mau tanya kenapa ya ko punya saya setiap mau cek jadwal kereta api selalu ada kterangan kereta tidak ada/kereta yg ada pilih tidak masuk kriteria. Itu kenapa ya",""
"DANI PA","Saya sbg pelanggan traveloka sgt kcewa untuk sistem penerbangan saat ini krna jadwal yg tidak nentu trus harga yg berubah ubah. Tolong dong di prbaiki.",""
