"Nama","Review",""
"al_ waqiah","Dulu seh ok, sekarang parah, kmaren beli tiket pesawat sdh bayar tiket gak keluar dngan alasan uang blom smpe rekening, pdhl semua bukti tf sdh di berikan, akhirnya menunggu lm dngan proses yg ga jelas, yg ke dua kmaren pesen hotel sudah bayar begitu lg alasan blom terima uang bukti tf sdh dkirim, l...Ulasan LengkapDulu seh ok, sekarang parah, kmaren beli tiket pesawat sdh bayar tiket gak keluar dngan alasan uang blom smpe rekening, pdhl semua bukti tf sdh di berikan, akhirnya menunggu lm dngan proses yg ga jelas, yg ke dua kmaren pesen hotel sudah bayar begitu lg alasan blom terima uang bukti tf sdh dkirim, lg dproses pemesanannnya sm team terkait, hello ini hotel buat istirahat disuruh nunggu yg gak jelas, klo nyiksa pelanggan jngn gini donk. Uang ga seberapa tp pelanggan lu kabur semua, 1 kata lol lo.",""
"Suti Yanto","knapa jadi susah ya",""
"Abdullah Syahrul bin Umar K","Pembayaran terlalu ribet. Tidak ada email atau Ponsel untuk menanyakan langsung operator. Buatlah lebih lengkap supaya pelanggan ga bingung. Seperti aplikasi lainnya gitu. Nomor rekening yang tertera juga tidak bisa transaksi lewat mobil banking. Mohon solusi. Saya sudah pesan tapi bingung mau trans...Ulasan LengkapPembayaran terlalu ribet. Tidak ada email atau Ponsel untuk menanyakan langsung operator. Buatlah lebih lengkap supaya pelanggan ga bingung. Seperti aplikasi lainnya gitu. Nomor rekening yang tertera juga tidak bisa transaksi lewat mobil banking. Mohon solusi. Saya sudah pesan tapi bingung mau transfer bagaimana? Saya punya mobil banking BSM. Bantu dong.....",""
"Caesar Rustanto McArthur","Aplikasi nepu nepu. Di tiket citilink diinformasikan bahwa ada promo diskon 150.000 pas mau saya pakai malah gak ada keluar sama sekali. Aplikasi udah versi paling terbaru. Tp opsi masukkan kode promo gak bisa. Kalau gak niat kasih promo gak usah dipublikasi. Jijik.",""
"Ridwan Roganda","Aplikasi BANGSAT, TAI",""
"Sella Martha","Sangaaaaaatttt mengecewakan, saya sdh beli tiket atraksi tapi ternyata pas di venue barcode nggak bisa di scan dong, jd rugi saya sdh bayar dr indonesia, jauh2 traveling malah nggak berguna",""
"Salsa billa Arsya","Kenapa saya tidak bisa check in online? Padahal sudah 22 jam sebelum penerbangan ini! Katanya aplikasi ini bisa check in online, tapi setelah saya buka aplikasi malah tidak bisa. Saya kecawa sekali dengan aplikasi ini",""
"Rolland Sebastian","Kurang mudah dgn menu",""
"Efrita Pratiwi","Aplikasi bapuk bikin kesel sj. Saya pesan kursi di gerbong 8 kursi 7C dan 7D pas proses pembayaran ternyata berubah jd di gerbong 14 kursi 1B dan 1C. Sangat kecewa. Dikomplain kaya dilempar sana lempar sini. Percuma ada pilihan utk pilih kursi klo ujung2nya berubah gt. Hadeh tolong solusinya dong ta...Ulasan LengkapAplikasi bapuk bikin kesel sj. Saya pesan kursi di gerbong 8 kursi 7C dan 7D pas proses pembayaran ternyata berubah jd di gerbong 14 kursi 1B dan 1C. Sangat kecewa. Dikomplain kaya dilempar sana lempar sini. Percuma ada pilihan utk pilih kursi klo ujung2nya berubah gt. Hadeh tolong solusinya dong tanggung jawab",""
"Nurfi Wahyuaini","Sangat buruk.sudah pesan,sudah tranfer tapi kode booking tidak keluar..terus gimana ini??",""
"Nandha Ariestiana","Sangat mengecewakan,,,,,,,,,,, ditungguin dari jam 12 malem udah nyoba berkali kali tapi gagal,,,,, dan tiba* full seat semua !!!!! Harusnya mempermudah bukan mempersulit",""
"Rudy Lenny","Gak membantu",""
"arie bagoes","Mengecewakan!!!, Saya mau REFUND TIKET, tidak bisa.",""
"Fajrianto. Manungki","Sangat kecewa dengan aplikasi ini , akhirnya saya uninstall",""
"okky derliana","Sekarang aplikasi nya ribet hrs masuk2i no CC ga bs TF lgs. Lah lagi musim nih penyalahgunaan CC tar kita jd korban lg. Udeh pake yg lain aje guys",""
